	Unnamed: 0	count	method	start_both	filter
0	0	31929.0	MEDICC	start/end matches	filter_5
1	1	48640.0	MEDICC	one matches	filter_5
2	2	28683.0	neighbor	start/end matches	filter_5
3	3	51886.0	neighbor	one matches	filter_5
4	4	3633.339141640128	random	start/end matches	filter_5
5	5	76935.66085835973	random	one matches	filter_5
6	0	29207.0	MEDICC	start/end matches	filter_5_dup_del
7	1	33845.0	MEDICC	one matches	filter_5_dup_del
8	2	26098.0	neighbor	start/end matches	filter_5_dup_del
9	3	36954.0	neighbor	one matches	filter_5_dup_del
10	4	2906.8967133584874	random	start/end matches	filter_5_dup_del
11	5	60145.10328664156	random	one matches	filter_5_dup_del
12	0	7346.0	MEDICC	start/end matches	filter_6
13	1	20181.0	MEDICC	one matches	filter_6
14	2	4691.0	neighbor	start/end matches	filter_6
15	3	22836.0	neighbor	one matches	filter_6
16	4	1150.7307933768448	random	start/end matches	filter_6
17	5	26376.269206623165	random	one matches	filter_6
18	0	6487.0	MEDICC	start/end matches	filter_6_dup_del
19	1	13105.0	MEDICC	one matches	filter_6_dup_del
20	2	4111.0	neighbor	start/end matches	filter_6_dup_del
21	3	15481.0	neighbor	one matches	filter_6_dup_del
22	4	816.7482755241787	random	start/end matches	filter_6_dup_del
23	5	18775.251724475813	random	one matches	filter_6_dup_del
24	0	1180.0	MEDICC	start/end matches	filter_7
25	1	3015.0	MEDICC	one matches	filter_7
26	2	426.0	neighbor	start/end matches	filter_7
27	3	3769.0	neighbor	one matches	filter_7
28	4	193.958468187588	random	start/end matches	filter_7
29	5	4001.0415318124137	random	one matches	filter_7
30	0	1059.0	MEDICC	start/end matches	filter_7_dup_del
31	1	1850.0	MEDICC	one matches	filter_7_dup_del
32	2	365.0	neighbor	start/end matches	filter_7_dup_del
33	3	2544.0	neighbor	one matches	filter_7_dup_del
34	4	133.62378097459052	random	start/end matches	filter_7_dup_del
35	5	2775.376219025411	random	one matches	filter_7_dup_del
