	count	method	start_both	filter
0	182	MEDICC	start/end matches	filter_5
1	349	MEDICC	one matches	filter_5
2	166	neighbor	start/end matches	filter_5
3	365	neighbor	one matches	filter_5
4	54.695523002203274	random	start/end matches	filter_5
5	476.3044769977967	random	one matches	filter_5
0	166	MEDICC	start/end matches	filter_5_dup_del
1	271	MEDICC	one matches	filter_5_dup_del
2	149	neighbor	start/end matches	filter_5_dup_del
3	288	neighbor	one matches	filter_5_dup_del
4	47.28844864750487	random	start/end matches	filter_5_dup_del
5	389.7115513524951	random	one matches	filter_5_dup_del
0	182	MEDICC	start/end matches	filter_6
1	342	MEDICC	one matches	filter_6
2	166	neighbor	start/end matches	filter_6
3	358	neighbor	one matches	filter_6
4	52.96001018169046	random	start/end matches	filter_6
5	471.0399898183095	random	one matches	filter_6
0	166	MEDICC	start/end matches	filter_6_dup_del
1	264	MEDICC	one matches	filter_6_dup_del
2	149	neighbor	start/end matches	filter_6_dup_del
3	281	neighbor	one matches	filter_6_dup_del
4	45.552935826992055	random	start/end matches	filter_6_dup_del
5	384.4470641730079	random	one matches	filter_6_dup_del
0	32	MEDICC	start/end matches	filter_7
1	67	MEDICC	one matches	filter_7
2	19	neighbor	start/end matches	filter_7
3	80	neighbor	one matches	filter_7
4	9.621705024364555	random	start/end matches	filter_7
5	89.37829497563544	random	one matches	filter_7
0	31	MEDICC	start/end matches	filter_7_dup_del
1	43	MEDICC	one matches	filter_7_dup_del
2	17	neighbor	start/end matches	filter_7_dup_del
3	57	neighbor	one matches	filter_7_dup_del
4	7.35352393296365	random	start/end matches	filter_7_dup_del
5	66.64647606703635	random	one matches	filter_7_dup_del
